Einschreibeschluessel,Kuerzel,Semesterzug,"Name der Vorlesung",Kurzbezeichnung,Dozent,Bemerkungen,"Weiterer Link",Moodle-Link,Evaluierungswunsch
ZUST,KOE,2+3,"2+3 Seminar",2P3,KOEHLER,," ","https://moodle.hs-hannover.de/course/view.php?id=27251 ",
APP_2425,JAS,VE4,AppaAnltec,AAT,JANSEN,," ","https://moodle.hs-hannover.de/course/view.php?id=27210 ",
UT2-2024-25,SAK,VM5,Abfallb.Kreis,ABK,SAKUTH,," ","https://moodle.hs-hannover.de/course/view.php?id=27236 ",
"Bitte per E-Mail beim Dozenten erfragen",GEI,WI6,Arbeitsre,ABR,GEIER,"<p dir=""ltr"" style=""text-align:left;""></p><p dir=""ltr"">Weitere Infos zu den Lehrveranstaltungen der Fakultät IV finden SIe unter: <br /><a href=""https://moodle.hs-hannover.de/course/view.php?id=2446"" target=""_blank"" rel=""noreferrer noopener"">https://moodle.hs-hannover.de/course/view.php?id=2446</a></p><p dir=""ltr""><br /></p><br /><p></p>"," "," ",
wise24hsh,CAK,II3,AlgDatStrL,ADL,CAKAR,," ","https://moodle.hs-hannover.de/course/view.php?id=27480 ",
wise24hsh,CAK,ID3,AlgDatStrL,ADLD,CAKAR,," ","https://moodle.hs-hannover.de/course/view.php?id=27480 ",
wise24hsh,CAK,MT3,AlgDatStrL,ADLD,CAKAR,," ","https://moodle.hs-hannover.de/course/view.php?id=27480 ",
Eiermuschelnudelhühnersuppe,KLO,ME2,Aerodyn,ADY,KLOSE,," ","https://moodle.hs-hannover.de/course/view.php?id=26832 ",
wise24hsh,CAK,II2,"AngewInform 1",AIN1,CAKAR,," ","https://moodle.hs-hannover.de/course/view.php?id=27478 ",
wise24hsh,CAK,ID3,AlgDatStr,ALD,CAKAR,," ","https://moodle.hs-hannover.de/course/view.php?id=27479 ",
wise24hsh,CAK,II3,AlgDatStr,ALD,CAKAR,," ","https://moodle.hs-hannover.de/course/view.php?id=27479 ",
wise24hsh,CAK,MT3,AlgDatStr,ALD,CAKAR,," ","https://moodle.hs-hannover.de/course/view.php?id=27479 ",
80-n--nA60-Z,VEN,XA1,"Analysis 1",ANA1,VENDL,," ","https://moodle.hs-hannover.de/course/view.php?id=27420 ",
Simulink,KAS,M3A,AngewProg,APG,KASTERINA,," ","https://moodle.hs-hannover.de/course/view.php?id=27195 ",
Simulink,TKA,M3B,AngewProg,APG,TKANY,," ","https://moodle.hs-hannover.de/course/view.php?id=27195 ",
Simulink,KAS,VE3,AngewProg,APG,KASTERINA,," ","https://moodle.hs-hannover.de/course/view.php?id=27195 ",
"Bitte per E-Mail beim Dozenten erfragen",GRM,WI3,AngewProg,APG,GRÜNEMAIER,," ","https://moodle.hs-hannover.de/course/view.php?id=24711 Angewandten Programmieren mit Matlab und VBA",
2024_WS_APM,SCH,PE2,AuslegProdM,APMV,SCHNEIDER,," ","https://moodle.hs-hannover.de/course/view.php?id=26842 ",
2024_WS_APM,SCH,PE2,AuslProdMSem,APVS,SCHNEIDER,," ","https://moodle.hs-hannover.de/course/view.php?id=26842 ",
ASR2324,GIE,PS6,Arb.sich.+Gesund,ARS,GIERAY,," ","https://moodle.hs-hannover.de/course/view.php?id=27070 ",
ASR2324,GIE,WI6,Arb.sich.+Gesund,ARS,GIERAY,," ","https://moodle.hs-hannover.de/course/view.php?id=27070 ",
Betriebsverfassung,NIR,PS6,ArbSysProz,ASP,NIEROBISCH,," ","https://moodle.hs-hannover.de/course/view.php?id=27400 ",
Betriebsverfassung,NIR,WI6,ArbSysProz,ASP,NIEROBISCH,," ","https://moodle.hs-hannover.de/course/view.php?id=27400 ",
UT1-2024-25,SAK,VE5,Abwas.Trink,AWT,SAKUTH,," ","https://moodle.hs-hannover.de/course/view.php?id=27235 ",
WiCool,JTK,II2,"Betriebsl G",BEL,JANTKE,," ","https://moodle.hs-hannover.de/course/view.php?id=22922 ",
WiCool,JTK,KT5,"Betriebsl G",BEL,JANTKE,," ","https://moodle.hs-hannover.de/course/view.php?id=21004 ",
BWL2024,SFF,M3A,"Betriebsl G",BEL,SCHULTE-FF,," ","https://moodle.hs-hannover.de/course/view.php?id=26967 Betriebslehre Grundlagen",
WiCool,JTK,M3B,"Betriebsl G",BEL,JANTKE,," ","https://moodle.hs-hannover.de/course/view.php?id=22922 ",
WiCool,JTK,MT5,"Betriebsl G",BEL,JANTKE,," ","https://moodle.hs-hannover.de/course/view.php?id=21004 ",
WiCool,JTK,PT5,"Betriebsl G",BEL,JANTKE,," ","https://moodle.hs-hannover.de/course/view.php?id=21004 ",
BWL2024,SFF,VE3,"Betriebsl G",BEL,SCHULTE-FF,," ","https://moodle.hs-hannover.de/course/view.php?id=26967 Betriebslehre Grundlagen",
